L1,L2,L3,RAM
48,48,72,1197
45,51,69,291
51,48,69,1221
45,54,69,294
54,48,72,1212
45,51,69,297
45,45,72,1218
45,45,69,294
48,45,72,1194
51,51,81,294
45,48,72,1218
51,54,63,294
48,45,69,294
45,48,72,1251
45,45,72,297
45,45,69,1215
54,51,69,294
45,45,69,1212
51,45,69,294
45,48,69,1215
48,54,69,294
45,45,72,1221
45,51,69,294
51,45,69,1212
48,45,75,294
51,51,72,1194
45,45,69,294
45,54,69,1212
54,45,69,297
45,51,72,1218
51,54,69,294
45,45,69,939
54,45,69,294
45,54,69,1191
45,45,72,294
51,54,72,1227
48,51,69,291
51,45,72,1218
45,48,69,294
45,45,75,1224
48,48,69,297
45,48,69,1179
51,51,69,291
45,48,69,1224
54,51,69,294
45,45,63,1215
45,51,69,294
45,45,63,309
48,48,69,642
51,45,69,837
45,45,69,297
51,48,72,1251
48,48,69,294
45,45,81,1236
45,45,72,294
45,45,63,1248
54,48,63,294
45,54,69,1224
51,51,69,294
45,45,72,1248
48,45,69,294
45,45,69,1212
45,48,69,297
51,51,63,1218
48,45,63,291
51,51,72,1185
45,45,63,474
45,51,69,300
54,54,75,1200
45,45,69,294
51,45,72,1224
45,51,72,297
54,48,69,1200
45,51,69,291
45,45,69,1224
51,45,69,294
48,45,63,1215
51,45,69,294
45,45,72,1221
45,51,69,294
48,48,69,1197
45,45,72,291
51,48,69,1221
45,45,75,294
54,45,69,309
45,48,72,294
45,51,72,1005
45,48,69,294
48,48,72,1179
51,54,72,294
45,45,69,1218
51,54,72,294
48,45,69,1227
45,54,69,291
45,54,63,1218
45,48,69,294
54,54,72,1188
45,54,78,297
51,48,69,1215
45,45,69,291
48,51,63,1224
45,45,69,294
45,45,69,963
51,45,69,294
48,45,72,1008
51,45,69,300
45,45,72,306
45,45,69,300
54,45,72,390
45,48,63,297
51,48,63,1218
45,45,69,294
54,51,72,1173
45,45,69,294
45,45,72,1218
51,54,69,294
48,51,72,1218
51,45,72,294
45,45,69,1227
45,45,69,291
48,54,69,291
45,48,69,1260
51,45,69,294
45,48,69,1221
54,54,69,294
45,45,69,1212
45,45,78,294
45,48,63,1218
48,48,69,291
51,48,69,1182
45,54,69,294
51,45,72,1218
48,54,69,297
45,45,72,1218
45,51,69,294
45,45,69,1215
54,45,72,294
45,54,63,1182
51,48,69,303
45,45,69,1152
48,45,69,297
45,51,78,1218
45,45,69,294
51,51,63,1215
48,45,72,294
51,54,72,1179
45,48,69,294
45,45,69,1224
54,51,69,294
45,45,69,1215
51,45,72,291
45,54,69,1224
54,48,72,294
45,51,69,1176
45,45,69,297
51,48,72,309
48,45,78,306
51,54,63,729
45,48,72,294
45,54,69,1218
48,51,63,291
45,45,72,1182
51,45,72,294
45,45,69,1218
54,51,69,297
45,48,69,1218
45,51,69,294
45,48,69,1215
48,45,69,294
51,45,72,1179
45,45,75,294
51,45,72,1224
48,45,69,294
45,51,72,984
45,45,69,294
45,45,69,1215
54,45,69,291
45,51,69,1212
51,45,72,294
45,48,72,1212
48,48,69,294
45,48,69,1221
45,45,69,294
51,48,72,1212
48,45,69,297
51,51,75,1203
45,45,69,294
45,51,72,1209
54,45,69,294
45,51,69,1218
51,51,69,297
45,48,63,300
54,45,63,309
45,54,72,294
45,48,69,939
51,45,69,294
48,45,69,1224
51,45,69,294
45,45,69,1215
45,48,72,291
48,51,75,1149
45,45,69,303
51,45,72,1197
45,51,69,297
54,45,69,1221
45,51,69,294
45,45,69,1212
45,51,72,297
48,48,69,1182
51,45,72,309
45,48,63,576
51,51,63,294
48,51,63,1218
45,45,63,297
45,45,78,1218
45,51,69,294
54,51,72,1179
45,48,69,294
51,45,69,1218
45,51,69,294
48,45,69,1224
45,51,69,294
45,45,72,1215
51,45,72,291
45,45,69,1185
51,54,69,294
45,51,72,1215
45,45,69,294
45,45,69,306
48,51,75,300
51,48,72,306
45,54,63,651
45,45,69,294
45,45,72,1173
54,54,69,294
45,45,69,1218
51,45,72,294
45,48,69,1209
54,54,69,294
45,45,69,1218
45,45,69,291
54,51,69,1164
45,48,72,294
51,54,69,1215
45,51,75,297
48,48,72,498
45,45,72,291
45,48,69,1224
51,51,69,294
48,45,69,1176
51,45,69,297
45,51,69,1221
45,51,72,294
54,48,69,1212
45,45,69,294
51,45,72,1221
45,45,69,294
54,45,69,1173
45,48,78,294
45,51,69,1218
51,45,72,294
48,51,63,1209
51,45,69,294
45,54,69,306
45,45,69,306
45,45,72,303
45,48,69,348
54,48,69,294
45,51,72,1218
51,48,69,294
45,51,72,1224
48,48,72,294
51,45,69,1179
48,45,78,291
51,51,69,1224
45,45,69,294
45,45,69,1215
48,48,69,297
45,45,69,1221
51,45,69,294
45,48,69,1176
51,45,69,300
45,48,63,324
48,54,69,294
45,45,69,1209
45,54,63,294
51,48,69,1218
48,45,72,297
51,51,75,1209
45,48,69,294
45,54,69,1215
54,45,69,294
45,51,69,1218
51,45,72,294
45,45,69,1224
54,45,69,294
45,45,69,1200
48,48,69,291
51,45,63,1224
45,45,69,294
51,48,69,303
48,45,69,309
45,45,75,303
45,51,72,495
45,51,69,300
51,51,72,1203
45,45,69,294
54,45,72,1212
45,51,72,294
45,48,72,1218
51,51,63,294
48,45,72,1209
51,45,69,294
45,45,69,1218
45,45,72,297
48,54,69,1218
45,45,69,294
51,45,75,537
45,51,69,294
54,48,69,1215
45,45,69,294
45,54,69,1212
45,51,72,294
48,45,69,1215
51,51,81,297
45,45,594,1221
51,45,69,294
48,45,72,1212
48,51,69,300
45,45,69,1203
45,51,69,294
51,45,75,1212
48,51,72,294
51,45,72,1218
45,45,69,294
45,45,69,300
54,51,63,303
45,48,69,309
51,45,69,726
45,45,72,294
54,45,69,1215
45,45,69,294
45,51,69,1218
51,45,69,294
48,45,63,1215
51,51,69,294
45,51,75,1215
45,45,72,291
48,54,72,1224
45,51,63,294
51,45,72,1215
45,48,72,297
54,48,69,1212
45,51,69,294
45,51,69,516
45,48,69,294
48,45,63,1218
51,45,69,294
45,45,69,1209
51,54,69,294
48,45,81,294
45,51,69,300
45,48,69,306
45,45,63,300
54,51,69,711
45,45,69,294
51,48,69,1218
45,51,72,294
48,48,72,1215
45,45,72,294
45,45,72,1215
51,51,69,291
48,48,72,300
51,45,72,300
45,51,69,429
45,45,78,294
54,45,69,1197
45,51,63,294
51,48,69,1221
45,45,69,294
54,54,69,1212
45,48,72,294
45,51,69,1218
51,45,69,294
48,45,69,1182
51,45,69,294
45,51,72,1218
45,45,69,297
48,45,69,1218
45,51,69,294
51,45,75,294
45,51,63,1227
54,51,69,294
45,45,69,1212
45,45,72,294
45,45,69,1215
48,51,72,297
51,51,69,1221
45,45,63,294
51,51,69,1212
48,45,69,300
45,51,72,1203
45,45,69,294
45,51,69,1212
54,45,78,294
45,51,69,1218
51,45,72,294
45,45,69,1209
48,54,69,294
45,45,69,300
45,45,69,306
51,45,72,300
48,48,72,711
51,45,69,294
45,51,72,1218
45,45,72,294
54,45,69,1215
45,51,63,294
51,48,69,1215
45,51,75,291
54,45,69,1224
45,48,72,294
45,51,69,1215
51,45,69,297
48,45,69,1212
51,51,72,294
45,45,72,303
45,48,72,492
48,45,69,294
45,51,69,1212
51,45,69,294
45,45,69,1218
54,45,69,294
45,48,69,1209
45,45,72,294
45,51,69,1218
48,45,63,297
51,45,72,1218
45,51,72,294
51,45,72,1215
48,45,63,300
45,51,72,1200
45,45,63,291
45,45,72,1224
54,45,69,600
45,54,72,297
51,45,69,1221
45,48,72,294
48,51,75,1197
45,45,69,294
45,51,72,1221
51,45,69,294
48,45,69,1212
51,51,69,294
45,45,69,1218
45,54,72,294
54,45,72,1194
45,45,69,294
51,48,69,1218
45,54,69,297
54,54,69,1218
45,45,69,294
45,48,72,309
